order,aic,bic
"[0, 2, 3]",956.8026309010872,967.4184723017173
"[0, 1, 3]",957.6027848978358,968.2565412742841
"[1, 2, 3]",958.4198243296307,971.6896260804183
"[1, 1, 3]",959.4094680702461,972.7266635408065
"[2, 2, 3]",959.7765048059463,975.7002669068914
"[2, 1, 3]",961.3530751610934,977.3337097257659
"[3, 2, 3]",961.5099859594872,980.0877084105898
"[1, 0, 3]",963.1209479889751,979.1579209957465
"[3, 1, 3]",963.1544178703716,981.7984915291561
"[1, 2, 2]",964.7426165475588,975.3963729240071
