order,aic,bic
"[0, 0, 0]",66.17983211113031,71.44929008758957
"[0, 0, 1]",67.05719159828126,74.93211003813408
"[1, 0, 0]",67.27911201529353,75.18329897998244
"[1, 0, 1]",68.016350172399,78.51624142553608
"[0, 0, 2]",68.08312609582092,78.54360816318597
"[2, 0, 0]",68.29397690950613,78.79386816264321
"[3, 0, 0]",69.37554135094724,82.45114393515354
"[2, 0, 1]",69.50731561393314,82.63217968035451
"[0, 0, 3]",69.54938729089432,82.57523822083478
"[1, 0, 2]",69.9028049837247,82.97840756793101
