order,aic,bic
"[0, 1, 3]",799.9473518168307,810.6011081932791
"[1, 1, 3]",800.3256144885775,813.6428099591378
"[3, 1, 3]",800.8450612063054,819.4891348650899
"[2, 1, 3]",802.0758862137569,818.0565207784293
"[0, 2, 3]",802.8003532265174,813.4161946271474
"[1, 2, 3]",803.8182854347201,817.0880871855077
"[2, 2, 3]",803.8519328915231,819.7756949924683
"[0, 0, 3]",805.5314018040062,818.8955459763158
"[3, 2, 3]",805.5978946765373,824.17561712764
"[1, 0, 3]",806.0557653042074,822.0927383109788
